Email,Organiser name,Has signed in,Email confirmed,Auth created,Last sign in,Display name,Hub role,Organiser access at,Organiser email verified,Auth user id
website@birmingham-chamber.com,"Asian Business Chamber of Commerce",no,yes,2026-07-27T19:53:21.136091Z,,"Asian Business Chamber of Commerce","client",2026-07-27T19:53:21.24+00:00,2026-07-27T19:53:21.24+00:00,0f8fb234-e9a6-48f1-a5d8-a094c9e37e44
tracy@b2blunchclub.co.uk,"B2B Lunch Club",no,yes,2026-07-23T19:30:48.810189Z,,"B2B Lunch Club","client",2026-07-23T19:30:48.941+00:00,2026-07-23T19:30:48.941+00:00,49a82e9e-b964-4ba4-86c0-45200cee2063
info@b4-business.com,"B4",no,yes,2026-07-23T19:33:15.78217Z,,"B4","client",2026-07-23T19:33:15.89+00:00,2026-07-23T19:33:15.89+00:00,12ebe872-3362-4db7-853a-028c02e48b94
cassie@cfatax.co.uk,"Barco business club",no,yes,2026-07-27T20:55:04.306029Z,,"Barco business club","client",2026-07-27T20:55:04.417+00:00,2026-07-27T20:55:04.417+00:00,aabab785-2fba-4dd5-adcc-4cb21ada914b
info@brchamber.co.uk,"Barnsley & Rotherham - Chamber of Commerce",no,yes,2026-07-28T13:35:23.742337Z,,"Barnsley & Rotherham - Chamber of Commerce","client",2026-07-28T13:35:23.879+00:00,2026-07-28T13:35:23.879+00:00,c92ace29-63e5-4f0e-837b-92aac390a8bf
chairman@basingstokebusinessclub.org.uk,"Basingstoke Business Club",no,yes,2026-07-28T07:22:46.156621Z,,"Basingstoke Business Club","client",2026-07-28T07:22:46.263+00:00,2026-07-28T07:22:46.263+00:00,11f5c066-705f-4f08-af6d-32fed2a61fb2
info@bawe-scotland.org,"BAWE (British Association of Women Entrepreneurs in Scotland)",no,yes,2026-07-28T08:11:05.375073Z,,"BAWE (British Association of Women Entrepreneurs in Scotland)","client",2026-07-28T08:11:05.483+00:00,2026-07-28T08:11:05.483+00:00,39df652f-6fb8-4fe8-bbef-c4ca9eeabd23
marcus@artimage.co.uk,"BBN (Bay Business Network)",no,yes,2026-07-23T19:41:43.743053Z,,"BBN (Bay Business Network)","client",2026-07-23T19:41:43.838+00:00,2026-07-23T19:41:43.838+00:00,047826ad-13a3-4793-a695-40138c78a538
brian@bbnetworking.co.uk,"BBN Networking",no,yes,2026-07-28T08:16:01.616004Z,,"BBN Networking","client",2026-07-28T08:16:01.713+00:00,2026-07-28T08:16:01.713+00:00,98f921ea-b332-4c75-b28a-a8f785158b87
dianne.richardson@becbusinesscluster.co.uk,"BECBC (Britain's Energy Coast Business Cluster)",no,yes,2026-07-28T08:26:30.829764Z,,"BECBC (Britain's Energy Coast Business Cluster)","client",2026-07-28T08:26:30.932+00:00,2026-07-28T08:26:30.932+00:00,3627ab5f-71ef-4b23-be61-48f40c8e4d37
info@chamber-business.com,"Bedfordshire Chamber of Commerce",no,yes,2026-07-28T08:45:57.642072Z,,"Bedfordshire Chamber of Commerce","client",2026-07-28T08:45:57.755+00:00,2026-07-28T08:45:57.755+00:00,549de608-34b0-4bcb-bb40-e19c8426372a
info@berkshiregrowthhub.co.uk,"Berkshire Growth Hub",no,yes,2026-07-28T08:55:05.680159Z,,"Berkshire Growth Hub","client",2026-07-28T08:55:05.773+00:00,2026-07-28T08:55:05.773+00:00,9ecf81b0-dfc2-492f-9c83-0c3b6f880f33
james@thebetterbusiness.network,"Better Business Network",no,yes,2026-07-23T20:07:03.984264Z,,"Better Business Network","client",2026-07-23T20:07:04.106+00:00,2026-07-23T20:07:04.106+00:00,d335a0de-0ad0-4008-8db5-b9441990f891
enquiries@betternetworking.co.uk,"Better Networking Hubs",no,yes,2026-07-23T19:52:19.589745Z,,"Better Networking Hubs","client",2026-07-23T19:52:19.686+00:00,2026-07-23T19:52:19.686+00:00,8db1e751-2c81-4591-a05d-30bce3996e20
hello@biignetworking.co.uk,"BiiG (Business in Ilminster Group)",no,yes,2026-07-28T09:06:13.86732Z,,"BiiG (Business in Ilminster Group)","client",2026-07-28T09:06:13.96+00:00,2026-07-28T09:06:13.96+00:00,a88c74f2-1799-4a0d-8a13-356c4fefa8c6
natalie@whitcombehr.co.uk,"BITA - Kent",no,yes,2026-07-28T09:37:28.270103Z,,"BITA - Kent","client",2026-07-28T09:37:28.359+00:00,2026-07-28T09:37:28.359+00:00,03a37685-58b6-40fe-9e5d-4c3170757739
adam@advantageinvestment.co.uk,"BITA - Liverpool",no,yes,2026-07-28T09:10:18.042197Z,,"BITA - Liverpool","client",2026-07-28T09:10:18.137+00:00,2026-07-28T09:10:18.137+00:00,4c7e3539-51eb-4278-aeed-73b944c01127
paul@bita.ie,"BITA - London",no,yes,2026-07-28T09:21:21.779767Z,,"BITA - London","client",2026-07-28T09:21:21.881+00:00,2026-07-28T09:21:21.881+00:00,d53ccc32-7af1-4da8-a98d-7a155caaf5af
as@groupams.co.uk,"BITA - Manchester",no,yes,2026-07-28T09:28:23.35051Z,,"BITA - Manchester","client",2026-07-28T09:28:23.448+00:00,2026-07-28T09:28:23.448+00:00,d7029a05-0e69-48a0-b82e-ac950b0d285c
brendan@ghostconsultancy.com,"BITA - Northern Ireland",no,yes,2026-07-28T09:14:36.535038Z,,"BITA - Northern Ireland","client",2026-07-28T09:14:36.625+00:00,2026-07-28T09:14:36.625+00:00,cb142602-def3-4b11-a04a-9618aea438ad
enquiries@blacksolicitorsnetwork.org,"Black Solicitors Network",no,yes,2026-07-28T09:43:36.226505Z,,"Black Solicitors Network","client",2026-07-28T09:43:36.293+00:00,2026-07-28T09:43:36.293+00:00,ac901847-4f01-4a11-8b49-e4126c0a6886
beds@bni.com,"Blaze BNI (Hitchin)",no,yes,2026-07-23T18:33:32.904156Z,,"Blaze BNI (Hitchin)","client",2026-07-23T18:33:33.011+00:00,2026-07-23T18:33:33.011+00:00,2728b371-f22d-4e9c-8966-c3993eb1ed77
paul.lawton@business-matching.co.uk,"BMUK",no,yes,2026-06-11T15:07:34.324565Z,,"Business Matching UK - NorthEast","client",2026-07-08T12:44:00.135141+00:00,2026-07-08T12:44:00.135141+00:00,08c8ba55-2bb5-4b1a-839a-6f65a75765b9
info@millandbrae.com,"BNI - Abbey (BNI (Paisley)",no,yes,2026-07-28T09:48:38.966663Z,,"BNI - Abbey (BNI (Paisley)","client",2026-07-28T09:48:39.045+00:00,2026-07-28T09:48:39.045+00:00,54428ac9-b44b-45b2-93af-a070a0ee033c
support@close-focus.co.uk,"BNI - BNI Erimus (Belfast)",no,yes,2026-07-23T21:23:48.995603Z,,"BNI - BNI Erimus (Belfast)","client",2026-07-23T21:23:49.119+00:00,2026-07-23T21:23:49.119+00:00,9fedc1cb-18be-47cb-8268-b05c4c4ff2ba
charlie@bniglasgowsl.com,"BNI - Evolution Glasgow",no,yes,2026-07-28T09:49:41.769314Z,,"BNI - Glasgow","client",2026-07-28T09:49:41.855+00:00,2026-07-28T09:49:41.855+00:00,d5fbf6a4-e08a-4e2c-8d65-34f76763eeae
eastmidlands@bni.co.uk,"BNI -@J28 - Derbyshire South",no,yes,2026-07-28T09:54:44.288305Z,,"BNI -@J28 - Derbyshire South","client",2026-07-28T09:54:44.389+00:00,2026-07-28T09:54:44.389+00:00,52eb78dc-16e4-4eec-b907-75e528f06c9e
carol@events-simplified.co.uk,"BNI -Graphene BNI",no,yes,2026-07-28T10:03:02.751389Z,,"BNI -Graphene BNI","client",2026-07-28T10:03:02.842+00:00,2026-07-28T10:03:02.842+00:00,a5fec0f8-e84b-473a-ba4c-7749614eb46b
essexwest@bni.co.uk,"BNI A27 - Essex West",no,yes,2026-07-28T10:02:00.060133Z,,"BNI A27 - Essex West","client",2026-07-28T10:02:00.145+00:00,2026-07-28T10:02:00.145+00:00,2dd53252-c0db-478e-b3cc-165294aac8d8
essexeast@bni.co.uk,"BNI Action - Essex East",no,yes,2026-07-28T10:02:07.916153Z,,"BNI Action - Essex East","client",2026-07-28T10:02:07.972+00:00,2026-07-28T10:02:07.972+00:00,c9434d49-0033-4736-9444-3971b86b0497
northwest@bni.co.uk,"BNI Alpha - Liverpool",no,yes,2026-07-28T09:54:58.635609Z,,"BNI Alpha - Liverpool","client",2026-07-28T09:54:58.702+00:00,2026-07-28T09:54:58.702+00:00,e5bb6f5f-4db3-4a6f-9cb2-06236e593c83
londoneast@bni.co.uk,"BNI Apollo - London East",no,yes,2026-07-28T09:54:52.58996Z,,"BNI Apollo - London East","client",2026-07-28T09:54:52.654+00:00,2026-07-28T09:54:52.654+00:00,e1b16741-e47d-4b7c-9033-3ef5662487ac
bristol@bni.co.uk,"BNI Bradman (Bristol)",no,yes,2026-07-28T10:01:26.829225Z,,"BNI Bradman (Bristol)","client",2026-07-28T10:01:26.895+00:00,2026-07-28T10:01:26.895+00:00,1a414285-1bb2-45c7-9001-2251914bd0c4
londoncentral@bni.co.uk,"BNI Central - Central London & The City",no,yes,2026-07-28T10:01:19.434627Z,,"BNI Central - Central London & The City","client",2026-07-28T10:01:19.499+00:00,2026-07-28T10:01:19.499+00:00,2b2d9d52-657a-42f4-aa89-a9318e95ae23
somerset@bni.co.uk,"BNI Concorde - Somerset",no,yes,2026-07-28T10:01:35.894418Z,,"BNI Concorde - Somerset","client",2026-07-28T10:01:35.961+00:00,2026-07-28T10:01:35.961+00:00,b8a0a9a6-09f6-4361-b729-a3912b9ef5fe
kentwest@bni.co.uk,"BNI Conversion - Kent West",no,yes,2026-07-28T10:01:49.348352Z,,"BNI -BNI Conversion - Kent West","client",2026-07-28T10:01:49.416+00:00,2026-07-28T10:01:49.416+00:00,809351f6-5cbb-43db-8cbb-51cec0e78c69
cambridgeshire@bni.co.uk,"BNI Granta - Cambridge",no,yes,2026-07-28T10:01:44.354323Z,,"BNI Granta - Cambridge","client",2026-07-28T10:01:44.418+00:00,2026-07-28T10:01:44.418+00:00,9bdc61fb-6fb6-46fd-9d58-b9c6a4b9589a
suffolk@bni.co.uk,"BNI Legend - Suffolk",no,yes,2026-07-28T10:02:24.086581Z,,"BNI Legend - Suffolk","client",2026-07-28T10:02:24.173+00:00,2026-07-28T10:02:24.173+00:00,bf3d2dfd-613c-4d8c-87b6-fe27e789214a
liverpool@bni.co.uk,"BNI Lima - Liverpool",no,yes,2026-07-28T10:02:31.287792Z,,"BNI Lima - Liverpool","client",2026-07-28T10:02:31.395+00:00,2026-07-28T10:02:31.395+00:00,4eb4a60d-b0ba-4123-ba01-7e3c336c6a2e
yorkshire_east@bni.co.uk,"BNI Marina (Hull)",no,yes,2026-07-28T09:59:29.841641Z,,"BNI Marina (Hull)","client",2026-07-28T09:59:29.938+00:00,2026-07-28T09:59:29.938+00:00,e8a7fe7c-4eec-4586-a132-73b3f16865a6
southwest@bni.co.uk,"BNI Parade (Bath)",no,yes,2026-07-28T10:02:43.518172Z,,"BNI Parade (Bath)","client",2026-07-28T10:02:43.634+00:00,2026-07-28T10:02:43.634+00:00,3d3efb2b-03a0-4967-a0b6-8f23b05a2b9e
hampshiresouth@bni.co.uk,"BNI Prime Online - Hampshire South",no,yes,2026-07-28T10:02:40.07028Z,,"BNI Prime Online - Hampshire South","client",2026-07-28T10:02:40.174+00:00,2026-07-28T10:02:40.174+00:00,69abc2fd-12ea-4207-b7b8-2eb7a7e1b7d8
derbyshire@bni.co.uk,"BNI Trailblazers - Derbyshire South",no,yes,2026-07-28T10:02:52.715024Z,,"BNI Trailblazers - Derbyshire South","client",2026-07-28T10:02:52.807+00:00,2026-07-28T10:02:52.807+00:00,1aa2ca4d-201f-46b1-b914-335d119877f7
ian@bobconnections.co.uk,"BoB Connections",no,yes,2026-07-28T10:10:25.048883Z,,"BoB Connections","client",2026-07-28T10:10:25.168+00:00,2026-07-28T10:10:25.168+00:00,36dbcbb6-4c07-4904-a1a6-9b95d585d1af
tina.duggan@bobnetworking.co.uk,"BoB Networking",no,yes,2026-07-28T10:33:20.454591Z,,"BoB Networking","client",2026-07-28T10:33:20.56+00:00,2026-07-28T10:33:20.56+00:00,1e98d95e-86fa-4100-9b2e-c7bea73bf044
gary@boombusinessclub.com,"Boom Business Club",no,yes,2026-07-23T17:01:38.690175Z,,"Boom Business Club","client",2026-07-23T17:01:38.78+00:00,2026-07-23T17:01:38.78+00:00,7e239351-f013-4f58-a4d7-75e1c8eba1c3
info@bpa-online.co.uk,"BPA (Bournemouth Property Association)",no,yes,2026-07-23T16:54:52.214656Z,,"BPA (Bournemouth Property Association)","client",2026-07-23T16:54:52.299+00:00,2026-07-23T16:54:52.299+00:00,b04c47f2-6fc2-45e4-ab8a-4726d62236aa
hello@thebrewnetworking.com,"Brew Beginning",no,yes,2026-07-28T11:08:26.280976Z,,"Brew Beginning","client",2026-07-28T11:08:26.371+00:00,2026-07-28T11:08:26.371+00:00,3d6cc52e-f5c6-4380-9e36-810dd615fe3b
info@brittontime.com,"Britton & Time Solicitors",no,yes,2026-07-28T11:20:25.624604Z,,"Britton & Time Solicitors","client",2026-07-28T11:20:25.719+00:00,2026-07-28T11:20:25.719+00:00,ad2cce79-a1ba-45bd-b8db-cfa956af6a9f
hello@bromleybusinessnetwork.co.uk,"Bromley Business Network Limited",no,yes,2026-07-28T11:35:26.823158Z,,"Bromley Business Network Limited","client",2026-07-28T11:35:26.922+00:00,2026-07-28T11:35:26.922+00:00,f4239240-fdb0-4599-9a15-8275fa0525fe
info@bucks-fizz.biz,"Bucks Fizz Networking",no,yes,2026-07-24T07:42:12.080602Z,,"Bucks Fizz Networking","client",2026-07-24T07:42:12.188+00:00,2026-07-24T07:42:12.188+00:00,40b66afd-9ea5-41f8-aeb8-54c21f46e5a3
info@businessbase.org.uk,"Business Base",no,yes,2026-07-28T11:47:17.21223Z,,"Business Base","client",2026-07-28T11:47:17.312+00:00,2026-07-28T11:47:17.312+00:00,efb81267-1759-41bb-a788-87ce83b27d31
bedford@business-buzz.org,"Business Buzz - Bedfordshire",no,yes,2026-07-28T11:49:45.331554Z,,"Business Buzz - Bedfordshire","client",2026-07-28T11:49:45.459+00:00,2026-07-28T11:49:45.459+00:00,e274eacc-8b3b-4887-9ef3-0cdd50da7cfe
info@businessfocusburton.co.uk,"Business Focus Networking - Burton",no,yes,2026-07-28T11:56:35.927552Z,,"Business Focus Networking - Burton","client",2026-07-28T11:56:36.052+00:00,2026-07-28T11:56:36.052+00:00,5a7bbb47-fda5-4fa2-96b5-50cd03d7ca33
info@bgateway.com,"Business Gateway",no,yes,2026-07-28T12:00:48.82936Z,,"Business Gateway","client",2026-07-28T12:00:48.943+00:00,2026-07-28T12:00:48.943+00:00,006a8362-509d-45eb-85a7-1b44cbea86b9
neil@businessgrowthclub.net,"Business Growth Club",no,yes,2026-07-28T12:22:25.579777Z,,"Business Growth Club","client",2026-07-28T12:22:25.677+00:00,2026-07-28T12:22:25.677+00:00,aac2e555-320c-45b3-95e0-f827b1a7baa1
business@redcar-cleveland.gov.uk,"Business Redcar Cleveland",no,yes,2026-07-28T12:28:26.543795Z,,"Business Redcar Cleveland","client",2026-07-28T12:28:26.639+00:00,2026-07-28T12:28:26.639+00:00,0bb48b24-276f-4580-93cb-b092557f9e7d
info@businesswest.co.uk,"Business West",no,yes,2026-07-28T12:38:51.288571Z,,"Business West","client",2026-07-28T12:38:51.4+00:00,2026-07-28T12:38:51.4+00:00,e51e5549-b85c-492c-b2b8-276127cf79f7
debbie@businesswomenunltd.co.uk,"Businesswomen UnLtd",no,yes,2026-07-30T06:59:28.670543Z,,"Businesswomen UnLtd","client",2026-07-30T06:59:28.787+00:00,2026-07-30T06:59:28.787+00:00,53fa38cd-e286-46e6-98ba-ff344fb6b495
aruna@busynetworking.net,"Busy Networking",no,yes,2026-07-30T13:28:16.286548Z,,"Busy Networking","client",2026-07-30T13:28:16.412+00:00,2026-07-30T13:28:16.412+00:00,874eb2a7-4e4a-480c-a046-af6bf4b51d3b
aruna@bwnetworking.co.uk,"Busy Women Networking",no,yes,2026-07-30T13:43:12.547287Z,,"Busy Women Networking","client",2026-07-30T13:43:12.656+00:00,2026-07-30T13:43:12.656+00:00,a808c92d-21f8-4931-8a38-abb2defbd290
office@buylocalnorfolk.org.uk,"Buy Local Norfolk",no,yes,2026-07-30T13:49:00.607983Z,,"Buy Local Norfolk","client",2026-07-30T13:49:00.741+00:00,2026-07-30T13:49:00.741+00:00,c5e80a11-5cd4-46c5-936f-41f6cd4e9273
info@buzzardnetworking.co.uk,"Buzzard Networking",no,yes,2026-07-24T07:44:56.929565Z,,"Buzzard Networking","client",2026-07-24T07:44:57.042+00:00,2026-07-24T07:44:57.042+00:00,eae742eb-097c-4607-b359-94558761e2bb
karen@bwcaberdeen.co.uk,"BWC Aberdeen",no,yes,2026-07-28T12:59:53.729701Z,,"BWC Aberdeen","client",2026-07-28T12:59:53.801+00:00,2026-07-28T12:59:53.801+00:00,c62a396f-5ec0-4daf-bfaa-72fe6de7bb9c
alvina@bwcedinburgh.co.uk,"BWC Edinburgh & Fife",no,yes,2026-07-28T12:57:56.757716Z,,"BWC Edinburgh & Fife","client",2026-07-28T12:57:56.872+00:00,2026-07-28T12:57:56.872+00:00,3b01026a-9a97-4658-a2ae-903a1e5d0e2b
info@bypnetwork.co.uk,"BYP Network",no,yes,2026-07-24T07:46:43.059984Z,,"BYP Network","client",2026-07-24T07:46:43.142+00:00,2026-07-24T07:46:43.142+00:00,0ade1685-b6f6-4607-81dd-51c14d560dd1
hello@c4di.net,"C4DI",no,yes,2026-07-28T13:07:41.007238Z,,"C4DI","client",2026-07-28T13:07:41.103+00:00,2026-07-28T13:07:41.103+00:00,70c03038-ca7a-4502-b668-fb9d4dec7d65
neuronetworkmcr@calmhorizoncoaching.co.uk,"Calm Horizon Coaching",no,yes,2026-07-28T13:11:32.09029Z,,"Calm Horizon Coaching","client",2026-07-28T13:11:32.187+00:00,2026-07-28T13:11:32.187+00:00,e06ec206-0b3f-4543-a82d-dbbd014d7ba6
capbusinessclubs3@gmail.com,"CAP Business Clubs",no,yes,2026-07-23T21:01:50.591711Z,,"CAP Business Clubs","client",2026-07-23T21:01:50.681+00:00,2026-07-23T21:01:50.681+00:00,74085c8f-3ad4-47fc-8f0b-ad7e4ba06754
claire@catena-network.co.uk,"Catena Network",no,yes,2026-07-24T07:57:53.464552Z,,"Catena Network","client",2026-07-24T07:57:53.553+00:00,2026-07-24T07:57:53.553+00:00,36b1d5b4-d8ed-4087-b229-082f0138e0ba
cbn@swanseacity.com,"CBN (City Business Network)",no,yes,2026-07-24T08:12:39.17688Z,,"CBN (City Business Network)","client",2026-07-24T08:12:39.296+00:00,2026-07-24T08:12:39.296+00:00,bdc14f3b-81c6-47bc-9134-d9036c2737a4
enquiries@ayrshire-chamber.org,"Chamber of trade  - Ayrshire",no,yes,2026-07-28T13:26:29.265148Z,,"Chamber of trade  - Ayrshire","client",2026-07-28T13:26:29.377+00:00,2026-07-28T13:26:29.377+00:00,d31d006a-ea60-493b-99e1-46e6a8c2fdba
website@blackcountrychamber.co.uk,"Chamber of trade  - Black Country",no,yes,2026-07-28T13:43:13.085502Z,,"Chamber of trade  - Black Country","client",2026-07-28T13:43:13.217+00:00,2026-07-28T13:43:13.217+00:00,c6762329-e90f-4746-9ec3-e59defda314c
enquiries@cambscci.co.uk,"Chamber of trade  - Cambridgeshire",no,yes,2026-07-28T13:46:41.611071Z,,"Chamber of trade  - Cambridgeshire","client",2026-07-28T13:46:41.7+00:00,2026-07-28T13:46:41.7+00:00,d97ae4ac-b359-47c0-bac1-b6ba808bba43
info@cw-seswm.com,"Chamber of trade  - Chambers Wales",no,yes,2026-07-28T14:14:44.9182Z,,"Chamber of trade  - Chambers Wales","client",2026-07-28T14:14:45.032+00:00,2026-07-28T14:14:45.032+00:00,18fcf944-552c-471b-8a2e-959ac58c52e4
hello@cornwallchamber.co.uk,"Chamber of trade  - Cornwall",no,yes,2026-07-28T14:16:35.4869Z,,"Chamber of trade  - Cornwall","client",2026-07-28T14:16:35.576+00:00,2026-07-28T14:16:35.576+00:00,8fd51986-1550-4d1d-80af-93345a518958
info@cw-chamber.co.uk,"Chamber of trade  - Coventry & Warwickshire",no,yes,2026-07-28T15:06:48.163345Z,,"Chamber of trade  - Coventry & Warwickshire","client",2026-07-28T15:06:48.279+00:00,2026-07-28T15:06:48.279+00:00,8bb9d612-3b46-405d-b7e2-8ee2495d8063
info@cumbriachamber.co.uk,"Chamber of trade  - Cumbria",no,yes,2026-07-28T15:49:55.423967Z,,"Chamber of trade  - Cumbria","client",2026-07-28T15:49:55.546+00:00,2026-07-28T15:49:55.546+00:00,61f1ece3-90aa-4165-9bf7-cc8ed6ef5cec
reception@devonchamber.co.uk,"Chamber of trade  - Devon",no,yes,2026-07-28T16:01:33.057385Z,,"Chamber of trade  - Devon","client",2026-07-28T16:01:33.17+00:00,2026-07-28T16:01:33.17+00:00,f5ffdde7-f335-45a8-911b-1a4b2f6ae5b9
chamber@doncaster-chamber.co.uk,"Chamber of trade  - Doncaster",no,yes,2026-07-28T16:12:24.741047Z,,"Chamber of trade  - Doncaster","client",2026-07-28T16:12:24.862+00:00,2026-07-28T16:12:24.862+00:00,78329ebb-c74f-497f-8a0b-04368db40a0f
contact@dorsetchamber.co.uk,"Chamber of trade  - Dorset",no,yes,2026-07-28T16:15:41.299158Z,,"Chamber of trade  - Dorset","client",2026-07-28T16:15:41.391+00:00,2026-07-28T16:15:41.391+00:00,d52b3017-ecea-4c92-ba3c-0bb702571a5e
info@dundeeandanguschamber.co.uk,"Chamber of trade  - Dundee & Angus",no,yes,2026-07-28T16:20:21.651272Z,,"Chamber of trade  - Dundee & Angus","client",2026-07-28T16:20:21.755+00:00,2026-07-28T16:20:21.755+00:00,ebe500c0-76ea-4ecd-909b-ea3ac15a076a
m.lockett@chamberelancs.co.uk,"Chamber of trade  - East Lancashire",no,yes,2026-07-28T16:24:34.158751Z,,"Chamber of trade  - East Lancashire","client",2026-07-28T16:24:34.249+00:00,2026-07-28T16:24:34.249+00:00,b79885bc-936e-4511-bf40-eadfd2856387
customerservices@tvchamber.co.uk,"Chamber of trade  - Thames Valley",no,yes,2026-06-10T14:02:51.503616Z,,"Chamber of trade  - Thames Valley","client",,,33902b00-83c8-4ae9-b998-e6845c198095
info@wcnwchamber.org.uk,"Chamber of trade  -West Cheshire & North Wales",no,yes,2026-07-26T09:22:11.412686Z,,"Chamber of trade  -West Cheshire & North Wales","client",2026-07-26T09:22:11.526+00:00,2026-07-26T09:22:11.526+00:00,2f3579c0-0117-413d-9ab5-3533df37966b
m.emery@birmingham-chamber.com,"Chambers of Commerce - Greater Birmingham",no,yes,2026-07-27T20:27:26.506322Z,,"Chambers of Commerce - Greater Birmingham","client",2026-07-27T20:27:26.618+00:00,2026-07-27T20:27:26.618+00:00,8e021eb1-b1fc-49c2-a20b-544706f40b8a
jamie@circlenetworks.co.uk,"Circle Networks",no,yes,2026-07-24T08:16:24.107905Z,,"Circle Networks","client",2026-07-24T08:16:24.201+00:00,2026-07-24T08:16:24.201+00:00,0e5137ce-844d-43a9-8914-baa7bd0ed7cb
team@cityladiesnetworking.com,"City Ladies Networking",no,yes,2026-07-28T16:45:31.164024Z,,"City Ladies Networking","client",2026-07-28T16:45:31.273+00:00,2026-07-28T16:45:31.273+00:00,4b0b904c-29e1-4849-89af-a57f12036ab7
info@cityprofessionalsnetwork.co.uk,"City Professionals Networking (CPN)",no,yes,2026-07-28T16:50:05.786005Z,,"City Professionals Networking (CPN)","client",2026-07-28T16:50:05.88+00:00,2026-07-28T16:50:05.88+00:00,134c17d1-b2e5-42e0-857d-f26a6e2a9da6
connect@clubsynergy.co.uk,"Club Synergy",no,yes,2026-07-28T16:58:19.358339Z,,"Club Synergy","client",2026-07-28T16:58:19.464+00:00,2026-07-28T16:58:19.464+00:00,5d5641b3-5275-47e2-8da2-a26ba17cc365
coastalmeetings@gmail.com,"CoastalNet",no,yes,2026-07-30T13:56:00.045744Z,,"CoastalNet","client",2026-07-30T13:56:00.183+00:00,2026-07-30T13:56:00.183+00:00,d0945499-f57a-424a-9c4e-c0f08fbd0326
hello@cwscreatives.com,"Coffee Work Sleep (CWS)",no,yes,2026-07-30T13:59:07.896585Z,,"Coffee Work Sleep (CWS)","client",2026-07-30T13:59:07.987+00:00,2026-07-30T13:59:07.987+00:00,3feb1e89-9390-4f7f-a952-2259a92e0914
info@communitycolab.co.uk,"CoLab",no,yes,2026-07-30T14:01:29.520385Z,,"CoLab","client",2026-07-30T14:01:29.601+00:00,2026-07-30T14:01:29.601+00:00,cf4e214a-3f4a-4af0-9873-1a3954fd68e0
tim@collaboratemk.co.uk,"Collaborate MK",no,yes,2026-07-27T09:58:47.050944Z,,"Collaborate MK","client",2026-07-27T09:58:47.138+00:00,2026-07-27T09:58:47.138+00:00,2d56d423-ac5a-4884-a8c6-5bc8d435df9e
gill@collaborationglobal.org,"Collaboration Global",no,yes,2026-07-30T14:04:06.357505Z,,"Collaboration Global","client",2026-07-30T14:04:06.481+00:00,2026-07-30T14:04:06.481+00:00,ac86a7b6-d852-4591-90b8-da5dd1358cbd
