email,name,phone
enquiries@blacksolicitorsnetwork.org,Black Solicitors Network,
enquiries@bnidevon.co.uk,BNI Devon,
enquiries@bnionline.co.uk,BNI Brunch (Samlesbury),
enquiries@cambscci.co.uk,Chamber of trade  - Cambridgeshire,
enquiries@cbi.org.uk,The Confederation of British Industry,
enquiries@designnetworknorth.org,Design Network North,0191 516 4400
enquiries@essexchambers.co.uk,Chamber of trade  - Essex,
enquiries@fieldtrainingservices.co.uk,BNI - Cardiff Central,01252547900
enquiries@forestschoolassociation.org,FSA Herefordshire (Forest School Association),07479 960 639
enquiries@forwardladies.com,Novi,0845 64 34 940
enquiries@hertschamber.com,Chamber of trade  - Hertfordshire,
enquiries@hwchamber.co.uk,Chamber of trade  - Herefordshire & Worcestershire,
enquiries@lbn.org.uk,Lakeland Businesswomen's Network (LBN),
enquiries@lincs-chamber.co.uk,Chamber of trade  - Lincolnshire,
enquiries@maggies.org,Maggie's,
enquiries@marchesgrowthhub.co.uk,Marches Growth Hub,0800 998 1098
enquiries@nbwn.co.uk,Norwich Business Women's Network (NBWN),
enquiries@reply.professionalsuk.co.uk,Professionals UK,
enquiries@shinespace.co.uk,Shine Space,
enquiries@shropshire-chamber.co.uk,Chamber of trade  - Shropshire,
enquiries@wearecatalyst.org,We Are Catalyst,
enterprise-works@york.ac.uk,Enterprise Works,01904 321420
essex@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Essex,
essexeast@bni.co.uk,BNI -BNI Action - Essex East,
essexwest@bni.co.uk,BNI -BNI A27 - Essex West,
events@londonbusinessnetwork.uk,London Business Network,
events@madewithmaturity.com,The Cream Tea Club,
events@md2md.co.uk,MD2MD,01865 600 800
events@networking.london,Networking London,
events@pinklinkladies.co.uk,Pink Link,01772 348309
events@somersetcountycc.co.uk,The In-Field Business Club Somerset County CC,
faye@freelancemum.co.uk,Freelance Mum,07967 135 163
felicia@tben.co.uk,The Black Economists Network,
fiona@getaheadva.com,Get Connected,07496 535719
foylebusinessnetwork@gmail.com,Foyle Business Network,07545 641 233
francesca@everywoman.com,Every Woman,0207981 2574
frank@fgmboilerservice.co.uk,BNI - BNI Lisburn,07746530313
frankie@totallinemarking.co.uk,BITA - BITAx,07539073135
garry.clark@fsb.org.uk,FSB (Federation of Small Businesses) - Scotland,
gary@boombusinessclub.com,Boom Business Club,01372 664227
gary@grafterssupergroups.co.uk,Grafters,
gavin@gslmedia.co.uk,Fore Business - Plymouth,
gavin@purewealthmanagement.co.uk,Fore Business - Chepstow,
gem@yorkshireindie.co.uk,Yorkshire Indie,
general.enquiries@britishcouncil.org,The British Council,
geoff@the-yorkshiremafia.co.uk,Silicon Yorkshire,
geoff@theyorkshiremafia.com,The Yorkshire Mafia,
george.kwuk@gmail.com,The Growth Community,
getconnected@my-chamber.co.uk,Chamber of trade  - Mid Yorkshire,
gill.wood@edinburghrugby.org,Edinburgh Rugby Business Club,
gill@collaborationglobal.org,Collaboration Global,07798601701
gilles@gillespelenc.com,Fore Business - Guildford,
glasgow@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Glasgow,
glasgowsl@bni.co.uk,BNI - Enterprise BNI - Glasgow & South Lanarkshire,
glenda@fabulousnetworking.co.uk,Fabulous Networking,07710 325 505
glenn@business-network.co.uk,The Business Network Birmingham,
gloucester@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Gloucester,
glowlincs@gmail.com,GLOW (Greater Lincolnshire's Outstanding Women),
governor.services@norfolk.gov.uk,Peer Networks (Schools & Learning Providers),0344 800 8020
grace@nwmnetwork.co.uk,Norfolk Women's Marketing Network (NWM Network),
groups@grafterssupergroups.co.uk,Grafters - Berkshire Royal,
growth@kub-uk.com,Power Networkers Hub,0333 050 9053
growthhub@heylep.com,HEY Growth Hub,01482 485260
growthhub@semplep.com,Semlep's Growth Hub,
guy@ggfit.co.uk,Fore Business - Wokingham,
guy@ggfit.com,Padel Partners Networking,07971618912
h.hambleton@uhy-uk.com,M4 Business Network,
halsteadottley@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Ipswich,
hampshirenorth@bni.co.uk,BNI - Phoenix Basingstoke,
hampshiresouth@bni.co.uk,BNI -BNI Prime Online - Hampshire South,
handw@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Herefordshire & Worcestershire,
hannah@pi-sq.co.uk,Women in Property - Midlands,
harrow@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Harrow,
harry.harrison@fsb.org.uk,"FSB (Federation of Small Businesses) - Yorkshire, Humber and the North East",
heather@ladiesnetwork.co.uk,Ladies Network,
heidimobbs@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Humberside,
hela@sistersnog.com,SisterSnog,
helen.bantock@theathenanetwork.com,The Athena Network Richmond,
helen.clarke@wibn.co.uk,Women In Business Network - Pendle,
helen.williams@real5networking.com,Real5 Networking - Windsor & Maidenhead,
helen@business-network.co.uk,The Business Network,0161 823 1384
hello.likemindedprofessionals@gmail.com,Like-Minded Professionals,07798623777
hello@bigonemarketing.co.uk,Friends In Business,07712 462081
hello@biignetworking.co.uk,BiiG (Business in Ilminster Group),
hello@bizgroup66.co.uk,Biz Group 66,
hello@blackcommsnetwork.co.uk,UK Black Comms Network,
hello@blueskyseo.co.uk,Breakfast Bites,07483 835646
hello@bromleybusinessnetwork.co.uk,Bromley Business Network Limited,0204 548 7002
hello@buzzbusinessnetworking.eu,Buzz Business Networking,07598258207
hello@cambridgewireless.co.uk,Cambridge Wireless,01223 967 101
hello@cornwallchamber.co.uk,Chamber of trade  - Cornwall,
hello@creativecontent.company,Creative Content Company,01733 69 89 50
hello@cwscreatives.com,Coffee Work Sleep (CWS),
hello@do-good.co.uk,Do good Networking,01473 659 876
hello@eastmeetswestclub.com,East Meets West Club,020 8638 8380
hello@elevatingbusiness.co.uk,Elevating Business,01992 249 249
hello@face2facemaidenhead.co.uk,Face2Face Maidenhead Business Networking,07818 222362
hello@g12businessclub.co.uk,G12 Business Club,01392 241 653
hello@gbshared.co.uk,"GB Shared, Responsible Business - National Community",01772 921643
hello@grubclubcambridge.co.uk,Grub Club,01480 455526
hello@hammersmithnetworking.co.uk,Hammersmith Networking,07958917432
hello@hashtagevents.co.uk,Hashtag Events Business Club,07572389217
hello@kimbolton.online,Kimbolton Connects,01480277550
hello@kukuconnect.co.uk,KUKU Connect,0116 2963 723
hello@lynx19.com,Business Lynx,01427 381 095
hello@manchesterhospitalitynetwork.co.uk,MHN (Manchester Hospitality Network),
hello@mantlespace.co.uk,Mantle Space - Go Meet,0333 00 66 330
hello@msgbusinesselevate.com,MSG Business Elevate,
hello@mybusinessnetworking.co.uk,What's My Business,
hello@networking-women.com,Networking Women,07980 934 352
hello@networkshe.co.uk,Network She,07876 262126
hello@nexusleeds.co.uk,"Nexus, University of Leeds",0113 3061 444
hello@nnbn.co.uk,NNBN,01536 648383
hello@norfolkchambers.co.uk,Chamber of trade  - Norfolk,
hello@northwalessocial.co.uk,NWS (North Wales Social),07981 210 798
hello@nottinghampartners.co.uk,Nottingham Partners,0115 962 8300
hello@outside-ideas.com,Outside Ideas,
hello@plcnetworking.uk,PLC Business Networking Group,
hello@plusgroup.org,Plus Group,0151 559 1332
hello@pne-uk.com,HPN (Healthcare Partnership Network),0129 3661 044
hello@powerofwomen.org.uk,Power of Women,
hello@progressiveproperty.co.uk,PPN (Progressive Property Network),
hello@scottishnationalnetwork.com,Scottish National Network,07856735797
hello@searchnorwich.org,Search Norwich,
hello@smallbusinessbritain.uk,Small Business Britain,
hello@speednetworkinggroup.com,Speed Networking Group,01624 666 105
hello@ssen.org.uk,Sheffield Social Enterprise Network,
hello@talkbusiness.co.uk,Talk Business UK,07966 512 573
hello@the-gba.co.uk,Gay Professional Network (GPN),07831 782 200
hello@the19thclub.co.uk,Whole In One,
hello@thecurryclubs.co.uk,The Curry Club,
hello@thesussexmum.com,The Sussex Mum,
hello@thewealthywomancompany.co.uk,The Wealthy Woman Company,
hello@topnetworking.co.uk,TOP Networking,
hello@vhmcharityconsultancy.com,Shropshire Charity Network,
hello@weareinbusiness.co.uk,We are In Business,0113 3231333
hello@wedoscotland.com,WeDo Scotland,
hello@women-connect.co.uk,Women Connect,
hello@womenwd.com,Women Who Do (WWD),
hello@womenwhouk.co.uk,"Women Who Business Networking, Kidderminster",
hello@yourbusinessmatters.co,Your Business Matters.co,07504 946585
hello@zokit.co.uk,Zokit,
help@colleaguesontap.com,Colleagues on tap,079 3010 6988
hertfordshirenorthandeast@bni.co.uk,BNI -Synergy (Hertford),
herts@bni.co.uk,BNI -Alban (St Albans),
hi@foundxrsclub.com,Foundxrs Club,0208 406 8992
hive@networkbee.uk,Network Bee,
hola.spitalfields@secondhome.io,Second Home,
holborn@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Holborn,
holly.nixon@theathenanetwork.com,The Athena Network - Warwickshire,
howard@numersrus.co.uk,Network4Business,07375 922705
humber@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Humber,
iain@weirassociates.co.uk,Fore Business - Cambridge,
ian@bobconnections.co.uk,BoB Connections,077702 783233
ian@digitalpeninsula.com,Network Cornwall,07773400989
ian@shoutnetwork.co.uk,Shout Network,
ian@virtualnonexecs.com,VNXD,
info.costa@btconnect.com,Costa Rural Support Network,028 855 56880
info@3csnetworking.co.uk,3CS Networking,07983 614564
info@abcnetworking.biz,ABC Networking,
info@aberdeenrenewables.com,AREG (Aberdeen Renewable Energy Group),01224 868 168
info@agamers.co,AGame Masterminds,
info@alexander-accountancy.co.uk,Alexander Accountancy's Property People,01283743851
info@alfrescoadventures.co.uk,"Alfresco Adventures, Netwalking in Yorkshire",07842 633232
info@allbright.co,AllBright,020 3817 3340
info@armaghbusinessnetwork.co.uk,The Business Network - Armagh,028 37 747 052
info@b4-business.com,B4,01865 742 211
info@bawe-scotland.org,BAWE (British Association of Women Entrepreneurs in Scotland),
info@berkshiregrowthhub.co.uk,Berkshire Growth Hub,0118 209 0000
info@berkshiremummies.co.uk,Berkshire Mummies,
info@bgateway.com,Business Gateway,0300 013 4753
info@birmingham-chamber.com,Chamber of trade  - Greater Birmingham,
info@bitcni.org.uk,The Responsible Business Network Northern Ireland,
info@blackbritishcitygroup.com,Black British City Group,
info@bni-irvine.co.uk,BNI - Magnum BNI (Irvine),
info@bnnl.co.uk,BNNL (Business Networking North London),07366 596518
info@bowlsscotland.com,Bowls Scotland,01292 294 623
info@bpa-online.co.uk,BPA (Bournemouth Property Association),
info@brchamber.co.uk,Chamber of trade  - Barnsley & Rotherham,01709 386 200
info@bristolprivateclients.com,Private Client Network,
info@bucks-fizz.biz,Bucks Fizz Networking,
info@businessbase.org.uk,Business Base,
info@businessfocusburton.co.uk,Business Focus Networking - Burton,01283 342 124
info@businessforcalderdale.co.uk,Business for Calderdale,
info@businesswest.co.uk,Business West,01275 373 373
info@buzzardnetworking.co.uk,Buzzard Networking,07881 953885
info@bypnetwork.co.uk,BYP Network,
info@cambridgeshirefa.com,1884 Business Club (Cambridgeshire FA),01223 209022
info@chamber-business.com,Bedfordshire Chamber of Commerce,01582 522448
info@ciof.org.uk,Chartered Institute of Fundraising,020 7150 0439
info@cityprofessionalsnetwork.co.uk,City Professionals Networking (CPN),
info@cognitionevents.co.uk,Cognition Events,01312100452
info@colabgroup.co.uk,CoLab,
info@colemantrainingdevelopment.com,Coleman Training Development,07495051056
info@cotswoldnetworking.co.uk,Cotswold Networking Bath,07595753205
info@cumbriachamber.co.uk,Chamber of trade  - Cumbria,
info@cw-chamber.co.uk,Chamber of trade  - Coventry & Warwickshire,
info@cw-seswm.com,Chamber of trade  - Chambers Wales,
info@cwentrepreneursnet.com,Canary Wharf Female Entrepreneurs Network,07912 207131
info@directorgolf.com,Director Golf,07973 693 576
info@dragonsofnewport.com,Dragons of Newport,07729 421176
info@dublcheckcleaning.co.uk,BNI - Carnegie (Dunfermline),07554426713
info@dundeeandanguschamber.co.uk,Chamber of trade  - Dundee & Angus,
info@dungannonenterprise.com,Dungannon Enterprise,028 87 723 489
info@dwellings4u.co.uk,Dwellings4U,01553 606120
info@edinburghchamber.co.uk,Chamber of trade  - Edinburgh,
info@egba.co.uk,EGBA (East Grinstead Business Association),01342 545009
info@enterpriseconnexions.com,Enterprise Connexions,0330 043 0118
info@entrepreneursforum.net,Entrepreneurs Forum,0191 500 7780
info@essexbusinessforum.com,Essex Business Forum,07812 738844
info@essexbusinesspartnerships.org.uk,Essex Business Partnerships,07940 459703
info@executivenetworkgroup.co.uk,ENG (Executive Network Group),0121 450 5000
info@fifechamber.co.uk,Chamber of trade  - Fife,
info@fignorwich.org,Fig Norwich (Financial Industry Group),
info@fitandfurnish.co.uk,Fore Business - Weston-Super-Mare,
info@fpb.org,The Forum of Private Businesses,
info@fwin.org.uk,Foyle Women's Information Network,028 71 266 291
info@glasgowgirlsclub.org,Glasgow Girls Club,
info@gmchamber.co.uk,Chamber of trade  - Greater Manchester,
info@good-2-great.co.uk,Good2Great,01746 330 730
info@hampshirechamber.co.uk,Chamber of trade  - Hampshire,
info@hbw.scot,hbw (Highland Business Women,01463 239 100
info@heatpumps.org.uk,HPA (Heat Pump Association),0118 940 3416
info@herefordhsg.co.uk,Herefordshire Health & Safety Group (HHSG),
info@hethelinnovation.com,Hethel Innovation,01953 859100
info@hivenetworking.co.uk,Hive Networking,
info@homegrownclub.co.uk,Home Grown Club,0203 928 8000
info@hull-humber-chamber.co.uk,Chamber of trade  - Hull & Humber,
info@iamwoman.biz,IAW (I Am Woman),07581 210 004
info@ibngroup.co.uk,IBNG (Independent Business Networking Group),07770872330
info@introbiz.com,IntroBiz,07581 564371
info@inverness-chamber.co.uk,Chamber of trade  - Inverness,
info@isbe.org.uk,ISBE (Institute for small business and entrepreneurship,
info@jbn.london,JBN (Jewish Business Network),07934019383
info@k2networking.co.uk,K2N,07803 419535
info@kentinvictachamber.co.uk,Chamber of trade  - Kent Invicta,
info@king-networking.co.uk,KiNG (Kernow Independent Networking Group),07887 441480
info@lanarkshirebusinessgroup.com,Lanarkshire Business Group,
info@lancschamber.co.uk,Chamber of trade  - North & Western Lancashire,
info@ledburyandnewentnetwork.co.uk,Ledbury & Newent Network,
info@leedsinvolvement.org.uk,Leeds Involving People,0113 237 4508
info@letsdo.co.uk,Let's Do Business,01772 860776
info@localbusinessconnections.com,Local Business Connections,07971 575 977
info@londonnetworkingclub.com,London Networking Group,
info@londonreferralnetwork.com,London Referral Network,
info@londonwomensforum.org,London Women's Forum,
info@lovewimbledon.org,Love Wimbledon,020 8619 2012
info@mbnsolutions.com,MBN,0141 224 0130
info@medina-business.com,Medina Business Exchange,01983 873853
info@met-events.co.uk,Met Events,07920 449 579
